category,item_id,item,description,priority
シナリオ条件,S01,シナリオが検証目的に合っているか,評価したい機能が実際にトリガーされるシナリオか確認,必須
シナリオ条件,S02,走行条件の定義が明確か,市街地・高速道路・夜間などの条件を文書化する,必須
シナリオ条件,S03,特定イベントの有無を明記しているか,信号・交差点・追越し場面など特定イベントを定義する,推奨
シナリオ条件,S04,シナリオ再現性が確保されているか,被験者間で同一条件になるよう再生ファイルで統制する,必須
被験者条件,P01,被験者属性は目的に合っているか,年齢・運転経験・免許種別を検証目的に合わせて設定,必須
被験者条件,P02,被験者数は統計的に十分か,最低8名・推奨12名以上を確保する,必須
被験者条件,P03,男女比・年齢層のバランスを考慮しているか,偏りがある場合は分析時に注記する,推奨
取得ログ,L01,反応時間の精度は十分か,100ms以下の精度で取得できるか確認,必須
取得ログ,L02,視線ログのサンプリングレートは十分か,60Hz以上を推奨,必須（Eye Tracker使用時）
取得ログ,L03,複数ログの時刻同期を確認しているか,DiLSログ・Eye Trackerログ・映像ログの同期確認,必須
取得ログ,L04,データ欠損発生時の対応手順があるか,欠損データの取り扱い方針を事前に決める,推奨
DiLS構成,D01,必要設備が搭載されているか,実験必要設備とDiLS搭載設備のチェックリストを照合,必須
DiLS構成,D02,Eye Trackerキャリブレーションを実施するか,被験者ごとに実施・精度を記録する,必須（Eye Tracker使用時）
DiLS構成,D03,DiLS構成変更を記録しているか,ソフトウェアバージョン含む構成スナップショットを取得,必須
環境条件,E01,環境条件を記録しているか,室温・照度・騒音レベルを測定・記録する,推奨
環境条件,E02,外光の影響を排除しているか,遮光状態を確認する（HMI輝度評価時は特に重要）,必須（HMI評価時）
アンケート項目,Q01,設問は検証目的と対応しているか,各設問が何を測定するのかを設計段階で整理,必須
アンケート項目,Q02,設問は被験者が理解できる表現か,専門用語を避け日常語で表現する,必須
アンケート項目,Q03,ダブルバーレル設問を避けているか,1設問に1つの質問のみ,必須
アンケート項目,Q04,シナリオごとにアンケートを分けているか,複数シナリオ後にまとめると記憶が混同する,推奨
報告書準備,R01,合否判断基準を事前に定義しているか,数値基準を依頼者と合意してから実験を開始する,必須
報告書準備,R02,過去類似テストとの比較を計画しているか,差分・変更点を計画書に明記する,推奨
報告書準備,R03,データ形式が統一されているか,CSV列名・単位・欠損値の扱いを統一する,必須
