participant_id,acc_experience,date,start_time,scenario,duration_min,dils_config,room_temp_c,noise_db,data_quality,notes
P001,experienced,2026-05-14,09:00,highway_follow,10,DiLS-03_v2.1,23.1,38,良好,
P001,experienced,2026-05-14,09:20,merge,8,DiLS-03_v2.1,23.1,38,良好,
P002,experienced,2026-05-14,10:00,highway_follow,10,DiLS-03_v2.1,23.3,39,良好,
P002,experienced,2026-05-14,10:20,merge,8,DiLS-03_v2.1,23.3,39,良好,
P003,experienced,2026-05-14,11:00,highway_follow,10,DiLS-03_v2.1,23.0,37,良好,
P003,experienced,2026-05-14,11:20,merge,8,DiLS-03_v2.1,23.0,37,良好,
P004,experienced,2026-05-14,13:00,highway_follow,10,DiLS-03_v2.1,23.4,40,良好,
P004,experienced,2026-05-14,13:20,merge,8,DiLS-03_v2.1,23.4,40,良好,
P005,experienced,2026-05-14,14:00,highway_follow,10,DiLS-03_v2.1,23.2,38,良好,一部操作介入あり（手動確認）
P005,experienced,2026-05-14,14:20,merge,8,DiLS-03_v2.1,23.2,38,良好,合流判断に迷いあり・コメント多数
P006,inexperienced,2026-05-15,09:00,merge,8,DiLS-03_v2.1,22.8,37,良好,初回のため説明に時間要
P006,inexperienced,2026-05-15,09:20,highway_follow,10,DiLS-03_v2.1,22.8,37,良好,
P007,inexperienced,2026-05-15,10:00,merge,8,DiLS-03_v2.1,23.1,38,良好,
P007,inexperienced,2026-05-15,10:20,highway_follow,10,DiLS-03_v2.1,23.1,38,良好,
P008,inexperienced,2026-05-15,11:00,merge,8,DiLS-03_v2.1,23.0,39,良好,
P008,inexperienced,2026-05-15,11:20,highway_follow,10,DiLS-03_v2.1,23.0,39,良好,
P009,inexperienced,2026-05-15,13:00,merge,8,DiLS-03_v2.1,23.3,38,良好,介入操作3回・要フォロー
P009,inexperienced,2026-05-15,13:20,highway_follow,10,DiLS-03_v2.1,23.3,38,良好,不安感の発言あり
P010,inexperienced,2026-05-15,14:00,merge,8,DiLS-03_v2.1,22.9,37,良好,
P010,inexperienced,2026-05-15,14:20,highway_follow,10,DiLS-03_v2.1,22.9,37,良好,
