participant_id,acc_experience,scenario,q1_safety,q2_naturalness,q3_trust,q4_discomfort,q5_adoption,intervention_count,free_comment
P001,experienced,highway_follow,5,5,5,1,5,0,追従がとてもスムーズ。違和感なく任せられた。
P001,experienced,merge,4,4,4,2,4,1,合流時の加速タイミングが少し早く感じたが許容範囲。
P002,experienced,highway_follow,4,4,5,1,4,0,安心して任せられる。加減速も自然。
P002,experienced,merge,4,5,4,1,4,0,合流支援が的確。スムーズに本線に乗れた。
P003,experienced,highway_follow,5,4,5,1,5,0,これまで使ったACCの中で最も自然な制御。
P003,experienced,merge,4,4,4,2,4,1,合流後の速度調整がやや唐突。慣れれば問題ない。
P004,experienced,highway_follow,4,5,4,1,4,0,減速がなめらか。ブレーキ感が良い。
P004,experienced,merge,5,5,5,1,5,0,合流支援は完璧。自信を持って任せられた。
P005,experienced,highway_follow,3,3,3,3,3,2,先行車の急減速時に制御が少し遅く感じた。
P005,experienced,merge,3,3,3,3,3,2,合流判断が保守的すぎる印象。もう少し積極的でいい。
P006,inexperienced,highway_follow,4,4,4,2,4,1,初めてだったが安心して使えた。
P006,inexperienced,merge,3,3,4,3,3,2,合流が初めてで少し緊張した。システムは助かった。
P007,inexperienced,highway_follow,5,4,5,1,5,0,こんなに自然に動くとは思わなかった。すごい。
P007,inexperienced,merge,4,4,4,2,4,1,合流支援があると心強い。
P008,inexperienced,highway_follow,4,4,4,2,4,0,最初は不安だったが慣れたら安心できた。
P008,inexperienced,merge,4,4,4,2,4,1,合流時に自動で加速してくれるのが安心。
P009,inexperienced,highway_follow,3,3,3,3,3,3,自動制御の感覚に慣れるまで時間がかかった。
P009,inexperienced,merge,2,3,2,4,2,3,合流での加速が怖く感じた。未経験者には説明が必要かも。
P010,inexperienced,highway_follow,4,5,4,1,4,0,加速・減速がとても自然で乗り心地が良かった。
P010,inexperienced,merge,4,4,4,2,4,1,合流もスムーズ。普段の運転より安心できた。
